Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, politburo, secretary, people
Topic 834 (0.00): act, legislation, protection, regulation, government, law, public, regulations, powers, legal
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 1155 (0.00): systems, design, system, development, techniques, expert, computer, analysis, engineering, technology
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, people, independence, cultural
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, defence, prosecution, witnesses, defendant
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, row, stitch, pattern
Topic 1204 (0.00): genes, genetic, selection, evolution, gene, natural, generation, population, individual, evolutionary
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, increase, annual, figure
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, policy
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, practice, patient
Topic 599 (0.00): river, water, bridge, bank, boat, lake, rivers, banks, mud, tide
Topic 1184 (0.00): town, towns, market, local, country, centre, city, houses, villages, cities
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, ankle, head, blood
Topic 381 (0.00): museum, centre, visitors, exhibition, history, visit, shop, display, collection, park
Topic 1188 (0.00): street, road, house, lane, park, square, town, shop, west, green
Topic 418 (0.00): tea, coffee, cup, table, cups, kitchen, mug, sat, kettle, drink
Topic 630 (0.00): assets, profit, account, accounts, accounting, net, balance, company, loss, cost
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, plaintiffs, application, claim
Topic 581 (0.00): father, mother, son, family, daughter, boy, child, brother, parents, sons
Topic 1375 (0.00): legs, arms, body, leg, feet, head, hands, left, arm, position
Topic 1037 (0.00): community, directive, commission, national, legislation, article, law, market, council, treaty
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, fighter, war
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, offshore, field, companies, company
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, act, paid, inland
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, couple, public
Topic 1224 (0.00): history, historical, evidence, historians, sources, past, historian, material, study, documents
Topic 1154 (0.00): pope, king, papal, church, archbishop, bishop, bishops, royal, clergy, innocent
Topic 90 (0.00): planning, development, land, local, permission, authorities, town, authority, control, housing
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, accountants, accounting, report
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, consumption, demand, efficiency
Topic 95 (0.00): binding, protein, promoter, transcription, sites, figure, site, sequence, proteins, lanes
Topic 513 (0.00): species, plants, plant, vegetation, seeds, forest, tropical, trees, food, found
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, cost
Topic 613 (0.00): north, south, east, west, northern, southern, region, country, eastern, western
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, pony, saddle, foal
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 1092 (0.00): system, systems, based, operation, individual, basic, single, control, designed, main
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, prizes
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, reactors, station, plutonium, energy, safety
Topic 1496 (0.00): fire, smoke, flames, burning, fires, flame, burn, brigade, set, blaze
Topic 575 (0.00): legal, law, solicitors, solicitor, aid, society, advice, lawyers, profession, services
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, play
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, action, liable, person
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, constitutional, approved, favour
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, broadcast, stations
Topic 878 (0.00): roof, tiles, wall, timber, walls, floor, wood, insulation, damp, tile
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, production, manufacturers, sports
Topic 336 (0.00): training, courses, staff, skills, trainees, programme, programmes, development, time, library
Topic 353 (0.00): sex, sexual, women, woman, love, male, female, partner, sexuality, intercourse
