Topic 498 (0.00): site, development, planning, council, plans, building, local, land, scheme, build
Topic 102 (0.00): community, local, people, education, communities, development, social, participation, action, adult
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, physical, loss, psychological
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, rate
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, sciences, world, theory, natural
Topic 793 (0.00): courses, sessions, day, training, information, programme, centre, workshop, contact, local
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, formula, driver
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, politburo, secretary
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, war
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, purposes, act
Topic 462 (0.00): train, station, railway, platform, trains, journey, passengers, car, line, carriage
Topic 78 (0.00): music, song, singing, songs, sing, playing, played, play, sang, piano
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, defence, prosecution, defendant
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, growing, fields
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, conscious, object
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, firms, trade, financial
Topic 1155 (0.00): systems, design, system, computer, development, expert, techniques, engineering, analysis, technology
Topic 1104 (0.00): education, training, compact, development, enterprise, partnership, industry, employers, students, experience
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, lord, justice, power
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, kettle, drink, sat
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, left, ankle, hospital
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, patient, practice
Topic 354 (0.00): political, party, politics, parties, government, system, support, policy, public, power
Topic 616 (0.00): erosion, surface, soils, rock, water, sand, sea, weathering, soil, lake
Topic 599 (0.00): river, water, bridge, bank, boat, lake, rivers, banks, mud, tide
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, row, stitch, pattern
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figures, increase, figure
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 385 (0.00): literature, literary, texts, criticism, cultural, critical, writing, text, study, studies
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, company, cost, loss
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, view, development, focus
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accounting
Topic 381 (0.00): museum, centre, exhibition, visitors, history, visit, shop, collection, display, special
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, evolutionary, population
Topic 1375 (0.00): arms, legs, body, leg, head, feet, hands, left, arm, position
Topic 1037 (0.00): community, directive, commission, national, legislation, market, article, law, council, directives
Topic 1188 (0.00): street, road, house, lane, town, park, west, square, shop, green
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, couple, public
Topic 1075 (0.00): oil, gas, production, sea, north, exploration, field, offshore, companies, petroleum
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, consumption, cent
Topic 90 (0.00): planning, development, land, local, permission, authorities, town, authority, control, housing
Topic 95 (0.00): binding, protein, sites, promoter, site, transcription, figure, proteins, sequence, lanes
Topic 205 (0.00): car, accident, hospital, killed, crash, road, died, injured, injuries, driver
Topic 613 (0.00): north, south, west, east, northern, southern, region, country, eastern, western
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, application, plaintiffs, judgment
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, seeds, trees, animals, food
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, died, parents, brother
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, pay, liability
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 1184 (0.00): town, towns, market, local, country, centre, houses, city, villages, century
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, stations, broadcast
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, home, vet
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, medal
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, world, engine, pilot
Topic 1207 (0.00): police, officers, policing, chief, force, constable, policemen, crime, public, officer
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, court
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, trees, house, gardeners, planting, lawn
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 353 (0.00): sex, sexual, women, woman, love, male, female, partner, intercourse, relationship
Topic 252 (0.00): term, terms, word, sense, meaning, describe, refer, definition, common, concept
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, energy, plutonium, station, reactors, stations
Topic 1224 (0.00): history, historical, historians, evidence, past, sources, historian, material, documents, study
Topic 1182 (0.00): car, cars, motor, rover, ford, company, production, model, manufacturers, engine
Topic 1340 (0.00): module, lifespan, package, modules, user, version, manager, file, access, approval
Topic 1496 (0.00): fire, smoke, flames, burning, fires, flame, set, burn, brigade, blaze
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, approved, constitutional, favour
Topic 336 (0.00): training, courses, staff, skills, trainees, programme, programmes, trained, development, time
Topic 1431 (0.00): nuclear, weapons, arms, soviet, treaty, missiles, defence, military, disarmament, union
