Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, prosecution, defence, defendant
Topic 599 (0.00): river, water, bridge, bank, boat, lake, rivers, banks, tide, mud
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, writing, text, study, studies
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, stitch, row, pattern
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, patient, practice
Topic 1184 (0.00): town, towns, market, country, local, centre, city, houses, villages, streets
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, cultural
Topic 1375 (0.00): arms, legs, body, leg, feet, head, hands, left, arm, foot
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figures, figure, annual
Topic 826 (0.00): pain, leg, injury, wound, injuries, broken, knee, blood, left, ankle
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, company, loss, cost
Topic 581 (0.00): father, mother, son, family, daughter, boy, child, children, brother, parents
Topic 1376 (0.00): court, plaintiff, defendant, action, proceedings, defendants, party, plaintiffs, judgment, application
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, accountants, accountancy, accounting
Topic 381 (0.00): museum, centre, exhibition, visitors, history, visit, shop, collection, display, park
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, population, evolutionary
Topic 418 (0.00): tea, coffee, cup, table, cups, kitchen, mug, kettle, sat, drink
Topic 1037 (0.00): directive, community, commission, national, legislation, market, law, council, article, directives
Topic 1154 (0.00): pope, king, papal, church, archbishop, bishop, bishops, royal, clergy, innocent
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 834 (0.00): act, legislation, protection, regulation, public, government, regulations, law, powers, control
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, town, control, plans
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, inland, paid, act
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, prizes
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, pay
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, world, war
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, offshore, field, companies, petroleum
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, seeds, trees, animals, birds
Topic 95 (0.00): binding, protein, promoter, transcription, sites, figure, site, sequence, proteins, lanes
Topic 1309 (0.00): defence, military, forces, army, armed, force, air, troops, staff, ministry
Topic 613 (0.00): north, south, east, west, northern, southern, region, country, central, eastern
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, consumption, demand, efficiency
Topic 247 (0.00): change, process, changing, changed, time, major, structure, system, affected, result
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, manufacturers, production, engine
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, constitutional, approved, favour
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, broadcast, station, stations
Topic 1496 (0.00): fire, smoke, flames, burning, fires, set, burn, flame, brigade, blaze
Topic 275 (0.00): advice, information, local, bureau, service, services, cab, contact, bureaux, telephone
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, play
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, reactors, station, plutonium, energy, stations
Topic 1224 (0.00): history, historical, evidence, historians, sources, past, historian, material, documents, study
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 205 (0.00): car, accident, hospital, crash, killed, road, died, injured, injuries, police
Topic 575 (0.00): legal, law, solicitors, solicitor, aid, society, advice, lawyers, profession, services
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, intercourse, female, sexuality
Topic 1207 (0.00): police, officers, policing, chief, force, crime, constable, policemen, public, officer
